Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,USG%,TS%,PTS_per_TSA,FT_rate,3P_rate,AST_TO,TOV%,TRB%_approx,STL_per_min,BLK_per_min,STL%,BLK%,Raw_EFF,PF_per_min,Load,Creation_proxy,PTS_log,AST_log,TRB_log,STL_log,BLK_log,TOV_log
Aaron Henry,22.0,6.0,0.0,2.8,0.2,0.8,0.2,0.0,0.2,0.0,0.2,0.7,0.25,0.2,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3,0.3,2022,39.285573980092934,0.18749765627929652,0.37499531255859303,0.0,0.24999687503906204,0.0,27.272479341096894,7.142831632744169,0.0,0.10714247449116253,0.0,10.714247449116254,-0.03571415816372086,0.10714247449116253,1.1,0.015,0.26236426446749106,0.0,0.18232155679395465,0.0,0.26236426446749106,0.26236426446749106
Aaron Holiday,25.0,63.0,15.0,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,2022,43.11108449933056,0.5353491921325763,1.0706983842651525,0.20370332647532136,0.29629574760046745,2.1817983472877516,15.750263816918936,11.728387821982826,0.043209849870463043,0.006172835695780436,4.320984987046304,0.6172835695780435,0.4382713344004109,0.09259253543670652,9.384,0.7949999999999999,1.9878743481543455,1.2237754316221157,1.0647107369924282,0.5306282510621704,0.09531017980432487,0.7419373447293773
Aaron Holiday,26.0,63.0,6.0,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.5,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,2023,32.23878191135678,0.5241921392684428,1.0483842785368855,0.14285673469504373,0.39999885714612243,2.333294445092582,13.88885673875755,8.955217197599106,0.04477608598799553,0.014925361995998511,4.477608598799553,1.492536199599851,0.3432833259079658,0.09701485297399032,5.72,0.475,1.589235205116581,0.8754687373538999,0.7884573603642702,0.4700036292457355,0.18232155679395465,0.4700036292457355
Aaron Holiday,24.0,66.0,8.0,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2,2021,45.910086567367095,0.5019513358179925,1.003902671635985,0.19696939853121437,0.4242417814518463,1.899981000189998,12.236891535864494,7.303366683501863,0.03932582060347157,0.011235948743849021,3.932582060347157,1.123594874384902,0.33707846231547056,0.07865164120694314,10.072,0.74,2.1041341542702074,1.0647107369924282,0.832909122935104,0.5306282510621704,0.18232155679395465,0.6931471805599453
Aaron Holiday,27.0,78.0,1.0,16.3,2.4,5.3,0.446,1.1,2.8,0.387,1.3,2.6,0.51,0.547,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6,2024,38.96930124582746,0.5838630858756443,1.1677261717512886,0.15094311142809166,0.5283008899983208,2.571391837259468,11.020133784424143,9.815944898193314,0.030674827806854106,0.006134965561370821,3.0674827806854106,0.6134965561370821,0.4233126237345866,0.09815944898193314,8.152,0.6900000000000001,2.028148247292285,1.0296194171811583,0.9555114450274363,0.4054651081081644,0.09531017980432487,0.5306282510621704
Aaron Nesmith,24.0,72.0,47.0,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,2024,38.03608735159302,0.6330420993751562,1.2660841987503124,0.21590884555813003,0.5227266787196833,1.6666481483539073,8.542133122500832,13.718406599853214,0.03249096299965235,0.025270748999729604,3.2490962999652346,2.5270748999729604,0.48375433799482376,0.11913353099872527,12.036000000000001,0.91,2.580216829592325,0.9162907318741551,1.5686159179138452,0.6418538861723948,0.5306282510621704,0.6418538861723948
Aaron Nesmith,22.0,52.0,3.0,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,2022,39.272691570280394,0.5107513151846366,1.0215026303692731,0.14285673469504373,0.6285696326581924,0.6666555557407378,13.88885673875755,15.454531404971451,0.03636360330581518,0.009090900826453795,3.636360330581518,0.9090900826453795,0.32727242975233667,0.11818171074389933,4.72,0.27,1.5686159179138452,0.33647223662121295,0.9932517730102833,0.33647223662121295,0.09531017980432487,0.4700036292457355
Aaron Nesmith,23.0,73.0,60.0,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,0.525,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023,39.90359843228979,0.5651291795779101,1.1302583591558202,0.2345676116449239,0.5308635421437752,1.2999870001299987,10.064402109096106,15.261038047775886,0.03212850115321239,0.020080313220757744,3.212850115321239,2.0080313220757744,0.4257026402800642,0.12851400461284956,11.236,0.765,2.4069451083182885,0.832909122935104,1.5686159179138452,0.5877866649021191,0.4054651081081644,0.6931471805599453
Aaron Nesmith,21.0,46.0,1.0,14.5,1.7,3.9,0.438,0.9,2.3,0.37,0.8,1.5,0.543,0.551,0.5,0.6,0.786,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7,2021,32.16549505827927,0.5643598358313262,1.1287196716626524,0.15384575936984776,0.5897420775844164,0.9999800003999921,10.720388678411926,19.3103315101162,0.02068964090369593,0.013793093935797286,2.068964090369593,1.3793093935797287,0.39310317717022264,0.13103439239007422,5.164,0.335,1.7404661748405046,0.4054651081081644,1.33500106673234,0.26236426446749106,0.18232155679395465,0.4054651081081644
Aaron Wiggins,24.0,70.0,14.0,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,0.579,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8,2023,34.81079199416649,0.602835810574804,1.205671621149608,0.1923073224859183,0.3269224482260611,1.3749828127148411,12.42234095909789,16.216207450698676,0.03243241490139735,0.01081080496713245,3.2432414901397353,1.081080496713245,0.4432430036524304,0.0864864397370596,7.54,0.56,2.0541237336955462,0.7419373447293773,1.3862943611198906,0.4700036292457355,0.18232155679395465,0.5877866649021191
Aaron Wiggins,25.0,78.0,4.0,15.7,2.7,4.8,0.562,0.8,1.6,0.492,1.9,3.2,0.598,0.645,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9,2024,37.5541162075693,0.6639710085238483,1.3279420170476965,0.18749960937581384,0.3333326388903357,1.571406122769675,11.872435765882352,15.286614467124544,0.04458595886244658,0.012738845389270455,4.458595886244659,1.2738845389270455,0.5286620836547239,0.07643307233562271,6.9959999999999996,0.5650000000000001,2.066862759472976,0.7419373447293773,1.2237754316221157,0.5306282510621704,0.18232155679395465,0.5306282510621704
Aaron Wiggins,23.0,50.0,35.0,24.2,3.1,6.7,0.463,0.8,2.8,0.304,2.3,4.0,0.573,0.525,1.2,1.7,0.729,1.0,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3,2022,35.322299453595264,0.5571958147209792,1.1143916294419585,0.25373096458064986,0.417909824015188,1.2727157025845217,12.868492198769072,14.876026910732682,0.02479337818455447,0.00826445939485149,2.479337818455447,0.826445939485149,0.36776844307089135,0.07851236425108915,9.948,0.6950000000000001,2.2300144001592104,0.8754687373538999,1.5260563034950494,0.4700036292457355,0.18232155679395465,0.7419373447293773
