,Player,Actual_PTS,Predicted_PTS,Actual_AST
1952,Jordan Poole,17.4,10.055495,4.4
1959,Jordan Walsh,1.7,8.572678,0.6
1960,Jose Alvarado,7.1,9.078244,2.1
1966,Josh Giddey,12.3,9.557557,4.8
1970,Josh Green,8.2,9.203093,2.3
1975,Josh Hart,9.4,9.2539,4.1
1992,Josh Minott,1.6,8.547541,0.3
1996,Josh Okogie,4.6,8.774684,1.1
2003,Josh Richardson,9.9,9.339441,2.4
2013,Jrue Holiday,12.5,9.605794,4.8
2031,Jules Bernard,3.9,8.799495,0.8
2032,Julian Champagnie,6.8,8.981051,1.4
2034,Julian Phillips,2.2,8.572678,0.3
2035,Julian Strawther,4.5,8.806632,0.9
2043,Julius Randle,24.0,10.581628,5.0
2051,Justin Champagnie,5.9,8.977925,1.3
2057,Justin Holiday,4.0,8.799495,1.2
2069,Justin Minaya,1.8,8.547541,0.6
2089,Jusuf Nurkić,10.9,9.445959,4.0
2094,KJ Martin,3.7,8.799495,0.9
2111,Karl-Anthony Towns,21.8,10.579048,3.0
2120,Kawhi Leonard,23.7,11.00524,3.6
2125,Keegan Murray,15.2,9.816135,1.7
2128,Keita Bates-Diop,3.7,8.774684,0.7
2139,Keldon Johnson,15.7,9.919757,2.8
2145,Kelly Olynyk,9.8,9.294576,4.4
2154,Kelly Oubre Jr.,15.4,9.957744,1.5
2163,Kendall Brown,1.4,8.547541,0.3
2172,Kenneth Lofton Jr.,4.6,8.832834,1.6
2179,Kenrich Williams,4.7,8.891973,1.3
2188,Kentavious Caldwell-Pope,10.1,9.339441,2.4
2192,Keon Ellis,5.4,8.891973,1.5
2194,Keon Johnson,6.2,8.846986,0.6
2197,Kessler Edwards,1.7,8.547541,0.3
2200,Kevin Durant,27.1,11.00524,5.0
2207,Kevin Huerter,10.2,9.457181,2.6
2218,Kevin Knox,7.2,9.12099,0.7
2224,Kevin Love,8.8,9.180842,2.1
2239,Kevon Looney,4.5,8.889012,1.8
2241,Keyonte George,13.0,9.548798,4.4
2251,Khris Middleton,15.1,9.816135,5.3
2261,Killian Hayes,6.9,9.038929,4.9
2265,Kira Lewis Jr.,3.2,8.689671,1.3
2268,Klay Thompson,17.9,10.050745,2.3
2273,Kobe Brown,2.0,8.572678,0.6
2274,Kobe Bufkin,4.8,8.900229,1.6
2288,Kris Dunn,5.4,8.945572,3.8
2291,Kris Murray,6.1,8.977925,1.3
2297,Kristaps Porziņģis,20.1,10.201596,2.0
2302,Kyle Anderson,6.4,9.044101,4.2
2314,Kyle Kuzma,22.2,10.322054,4.2
2322,Kyle Lowry,8.1,9.1195135,4.2
2334,Kyrie Irving,25.6,11.00524,5.2
2344,LaMelo Ball,23.9,10.581628,8.0
2348,Lamar Stevens,7.2,9.038929,0.7
2360,Landry Shamet,7.1,9.097427,1.2
2376,Larry Nance Jr.,5.7,8.945572,1.9
2378,Lauri Markkanen,23.2,10.579048,2.0
2390,LeBron James,25.7,11.00524,8.3
2392,Leaky Black,2.7,8.689671,0.9
2395,Leonard Miller,1.7,8.572678,0.5
2396,Lester Quiñones,4.4,8.806632,1.0
2398,Lindell Wigginton,2.0,8.572678,0.0
2401,Lindy Waters III,3.6,8.717085,0.6
2406,Lonnie Walker IV,9.7,9.35182,1.3
2435,Luguentz Dort,10.9,9.35182,1.4
2442,Luka Dončić,33.9,11.00524,9.8
2445,Luka Garza,4.0,8.774684,0.2
2448,Luka Šamanić,4.1,8.781821,0.4
2453,Luke Kennard,11.0,9.341263,3.5
2463,Luke Kornet,5.3,8.945572,1.1
2471,Malachi Flynn,5.5,8.897824,1.9
2477,Malaki Branham,9.2,9.2539,2.1
2484,Malcolm Brogdon,15.7,9.858941,5.5
2496,Malik Beasley,11.3,9.457181,1.4
2505,Malik Monk,15.4,9.858941,5.1
2510,Malik Williams,2.7,8.717085,0.3
2513,Mamadi Diakite,2.0,8.572678,0.3
2518,MarJon Beauchamp,4.4,8.825697,0.6
