Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jared Harper,24,NOP,PG,5,0,43,36.9,0.666,0.462,0.154,5,0,2.6,64.1,4.6,2.2,6.7,29.7,0.3,0.1,0.4,0.422,14.2,3.1,17.3,0.2
Cameron Oliver,25,ATL,SF,2,0,43,21.4,0.705,0.2,0.2,5.1,10.1,7.6,11.1,1.1,2.1,0,16.6,0.2,0,0.2,0.219,2.3,-0.5,1.7,0
Robert Woodard II,22,SAC,SF,12,0,42,2.1,0.207,0.25,0.125,12.8,15.7,14.3,9,1.1,2.1,5.6,18.3,-0.2,0,-0.1,-0.147,-6.8,-3.6,-10.4,-0.1
Sharife Cooper,20,ATL,PG,13,0,39,-5.4,0.25,0.429,0,0,14,7,16.3,0,0,26.3,21.3,-0.2,0,-0.2,-0.297,-11.3,-5,-16.3,-0.1
Cassius Winston,23,WAS,PG,7,0,39,6,0.549,0.545,0.364,0,2.8,1.4,24.4,0,0,19,18,0,0,0,0.015,-5.9,-3.5,-9.3,-0.1
Xavier Sneed,24,2TM,SF,9,0,39,0.4,0.25,0.8,0,5.5,10.9,8.3,3.3,0,0,0,11,-0.1,0,0,-0.056,-6.9,-3.7,-10.6,-0.1
Xavier Sneed,24,MEM,SF,2,0,8,-7.1,0,1,0,12.8,13.4,13.1,0,0,0,0,10.2,0,0,0,-0.143,-14.5,-5.5,-19.9,0
Xavier Sneed,24,UTA,SF,7,0,31,2.4,0.313,0.75,0,3.7,10.3,7.1,4.1,0,0,0,11.2,0,0,0,-0.033,-4.9,-3.3,-8.2,0
Nik Stauskas,28,2TM,SG,8,0,39,10.5,0.541,0.714,0.429,3,5.7,4.4,7.3,0,0,5.7,20,0,0,0.1,0.078,-0.9,-2.7,-3.6,0
Nik Stauskas,28,MIA,SG,2,0,24,13.1,0.564,0.5,0.5,4.8,9.3,7.1,6,0,0,0,18.1,0.1,0,0.1,0.142,0,-1.3,-1.3,0
Nik Stauskas,28,BOS,SG,6,0,15,6.2,0.509,1,0.333,0,0,0,9.4,0,0,12.7,23.1,0,0,0,-0.025,-2.4,-4.8,-7.3,0
Petr Cornelie,26,DEN,PF,13,0,38,9.6,0.418,0.533,0.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24,-0.1,0,0,-0.015,-6.1,-2.7,-8.8,-0.1
Darren Collison,34,LAL,PG,3,0,37,-0.2,0.286,0.429,0,0,11.6,5.8,6.8,1.3,0,12.5,9.3,-0.1,0,-0.1,-0.07,-10,-0.9,-10.9,-0.1
Justin Jackson,26,2TM,SF,7,0,37,7.7,0.472,0.6,0.133,3,16.9,10.1,7.1,0,0,5.9,19.7,0,0,0,0.032,-2.2,-1.1,-3.3,0
Justin Jackson,26,BOS,SF,1,0,2,22.7,0.532,0,2,0,0,0,0,0,0,0,41.4,0,0,0,0.251,1.9,-4.4,-2.5,0
Justin Jackson,26,PHO,SF,6,0,35,6.8,0.464,0.643,0,3.1,17.9,10.7,7.5,0,0,6.7,18.4,0,0,0,0.019,-2.5,-0.9,-3.4,0
Marko Simonovic,22,CHI,C,9,0,35,10.2,0.428,0.333,0.733,16.2,16,16.1,0,1.4,2.5,9.2,27.5,0,0,0,-0.011,-6.1,-5,-11.1,-0.1
Cheick Diallo,25,DET,C,3,0,31,12.3,0.517,0,0.75,13.3,29.4,20.9,0,1.6,0,8.6,16.1,0,0,0.1,0.108,-4.2,-3.3,-7.5,0
Micah Potter,23,DET,C,3,0,31,13.6,0.505,0.182,0.182,13.3,18.4,15.7,0,1.6,2.9,7.8,17.8,0,0,0,0.073,-4,-3,-7.1,0
Juwan Morgan,24,2TM,PF,2,0,31,8.3,0.833,0.667,0,6.6,7.4,7,4.2,0,0,0,4.1,0.1,0,0.1,0.124,-3.3,-3.9,-7.1,0
Juwan Morgan,24,TOR,PF,1,0,27,9.5,0.833,0.667,0,7.6,8.5,8,4.8,0,0,0,4.8,0.1,0,0.1,0.139,-3.2,-4.2,-7.3,0
Juwan Morgan,24,BOS,PF,1,0,4,0,,,,0,0,0,0,0,0,,0,0,0,0,0.024,-4,-2,-6,0
Jordan Schakel,23,WAS,SG,4,0,30,-1.2,0.21,0.545,0.182,7.5,21.8,14.8,0,1.6,0,7.8,19.1,-0.2,0,-0.1,-0.204,-8.6,-4.3,-13,-0.1
Daniel Oturu,22,TOR,C,3,0,27,13.4,0.549,0.167,0.833,3.8,17,10,0,0,7.2,0,13,0,0,0.1,0.121,-2.7,-2.5,-5.2,0
Deividas Sirvydis,21,DET,SG,3,0,27,0.1,0.15,0.7,0,0,25.3,12,4.9,5.4,3.3,0,15.9,-0.1,0.1,-0.1,-0.139,-10.8,2.2,-8.7,0
Mac McClung,23,2TM,PG,2,0,25,5.2,0.621,0.5,0.167,0,12.9,6.5,5.2,1.9,3.6,31.8,16.3,0,0,0,-0.043,-8.4,-1.2,-9.6,0
Mac McClung,23,CHI,PG,1,0,3,8.7,1,0,0,0,0,0,0,0,0,50,29.4,0,0,0,-0.251,-6.9,-8.4,-15.3,0
Mac McClung,23,LAL,SG,1,0,22,4.7,0.551,0.6,0.2,0,14.6,7.3,6,2.2,4,26.9,14.5,0,0,0,-0.015,-8.6,-0.2,-8.8,0
Shaquille Harrison,28,BRK,SG,2,0,23,4.6,0.333,0.333,0,4.9,13.8,9.5,16.6,2.1,3.9,25,15,-0.1,0,0,-0.067,-9,0.6,-8.3,0
Carlik Jones,24,2TM,PG,5,0,23,-1.8,0.202,0.111,0.222,4.8,9.7,7.3,26.7,2.2,0,23.3,25.1,-0.2,0,-0.1,-0.285,-11.3,-4.2,-15.5,-0.1
Carlik Jones,24,DAL,PG,3,0,19,-4,0.127,0.143,0.286,5.8,11.7,8.8,32.3,2.6,0,27.6,25.8,-0.2,0,-0.1,-0.338,-13,-4.3,-17.3,-0.1
Carlik Jones,24,DEN,PG,2,0,4,8.9,0.5,0,0,0,0,0,0,0,0,0,21.9,0,0,0,-0.03,-3,-3.7,-6.7,0
Chandler Hutchison,25,PHO,SF,6,0,22,1,0.694,0,1,0,23.8,12.2,10.5,0,0,58.1,13.5,-0.1,0,0,-0.086,-8,-0.5,-8.5,0
Damyean Dotson,27,NYK,SG,2,0,21,6.4,0.5,0.25,0,0,10.4,5.1,6.9,0,0,0,8.3,0,0,0,0.045,-3.7,-1.2,-4.9,0
Gabe York,28,IND,SG,2,0,21,12.7,0.435,0.857,0.714,0,10.8,5.3,25.1,4.7,4.1,9.8,20.8,0,0,0,0.059,-3.7,2.2,-1.5,0
Joel Ayayi,21,WAS,SG,7,0,20,3.4,0.167,0.167,0,5.6,10.9,8.3,25.4,0,0,0,13.3,0,0,0,-0.098,-4.3,-1.7,-6,0
Jay Huff,23,LAL,C,4,0,20,0.6,0,0.667,0,5.4,16.1,10.8,5.9,2.4,4.5,25,8.6,-0.1,0,0,-0.117,-8.3,0.9,-7.4,0
McKinley Wright IV,23,MIN,PG,5,0,19,9.5,0.833,0.667,0,0,0,0,20.9,0,0,25,8.8,0,0,0,0.092,-1.4,-2.8,-4.2,0
George King,28,DAL,SF,4,0,19,-12.3,0.085,0.8,0.4,0,29.3,14.6,0,0,0,14.5,16.3,-0.1,0,-0.1,-0.296,-16.5,-3.5,-20.1,-0.1
Norvel Pelle,28,UTA,C,3,0,19,12.2,0.6,0,0,17.9,16.7,17.3,0,0,4.6,28.6,16,0,0,0,0.038,-3,-4.1,-7.1,0
Wayne Selden,27,NYK,SG,3,0,19,4.3,0.434,0.5,1,0,5.8,2.8,7.2,0,0,0,13.3,0,0,0,0.016,-4.3,-1.6,-5.9,0
Craig Sword,28,WAS,SG,3,0,19,14.2,0.75,0.25,0,0,0,0,7.7,10.4,0,20,11.7,0,0,0.1,0.158,-8.6,10,1.4,0
Eugene Omoruyi,24,DAL,SF,4,0,18,17,0.518,0.4,0.8,12.3,30.9,21.6,15.8,0,0,0,16.9,0.1,0,0.1,0.201,3.3,0.7,4,0
Emanuel Terry,25,PHO,PF,3,0,18,-0.1,0,0,0,48.9,40.6,44.7,12.2,2.7,0,50,23.9,-0.1,0,-0.1,-0.256,-13,-5.3,-18.3,-0.1
Scotty Hopson,32,OKC,SG,1,0,18,0.1,0.5,0.25,0,0,5.8,2.9,8.1,0,0,33.3,14.4,-0.1,0,0,-0.132,-8.7,-2.9,-11.6,0
Aaron Henry,22,PHI,SF,6,0,17,-7.4,0.2,0.2,0,0,6.5,3.3,0,0,10.6,28.6,18.5,-0.1,0,-0.1,-0.306,-14,-2.4,-16.5,-0.1
Trayvon Palmer,27,DET,SG,1,0,17,-5.7,0,0,0,0,13.4,6.4,0,0,0,50,5,-0.1,0,0,-0.133,-13.1,-1.8,-15,-0.1
Dakota Mathias,26,MEM,SG,6,0,16,11,0.5,1,0,0,13.4,6.5,8,3,0,0,15.4,0,0,0,0.114,-1.4,1.7,0.3,0
