Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Anderson,26,67,28,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1,1.7,5.8
DeAndre' Bembry,25,43,4,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2,5.8
PJ Dozier,23,29,0,14.2,2.2,5.4,0.414,0.6,1.7,0.347,1.7,3.7,0.444,0.468,0.7,1,0.724,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8
Wes Iwundu,25,52,21,18.3,1.9,4.5,0.416,0.5,1.6,0.341,1.3,2.9,0.457,0.476,1.5,1.9,0.804,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8
Skal Labissière,23,33,1,17.2,2.5,4.5,0.551,0.1,0.4,0.231,2.4,4.1,0.582,0.561,0.8,1,0.758,2,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8
Anžejs Pasečņiks,24,27,0,16.2,2.3,4.3,0.526,0,0.1,0,2.3,4.2,0.54,0.526,1.3,2.1,0.586,1.6,2.4,4,0.7,0.3,0.4,0.9,2.8,5.8
Nickeil Alexander-Walker,21,47,1,12.6,2.1,5.7,0.368,1,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7
Dwayne Bacon,24,39,11,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
Bol Bol,20,7,0,12.4,2,4,0.5,0.6,1.3,0.444,1.4,2.7,0.526,0.571,1.1,1.4,0.8,0.7,2,2.7,0.9,0.3,0.9,1.4,1.6,5.7
Talen Horton-Tucker,19,6,1,13.5,2.3,5,0.467,0.7,2.2,0.308,1.7,2.8,0.588,0.533,0.3,0.7,0.5,0.3,0.8,1.2,1,1.3,0.2,1,1.7,5.7
Darius Bazley,19,61,9,18.5,2,5.2,0.394,0.8,2.3,0.348,1.2,2.9,0.432,0.472,0.7,1,0.694,0.5,3.5,4,0.7,0.4,0.7,0.7,0.9,5.6
Damian Jones,24,55,27,16.1,2.2,3.2,0.68,0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6
Jalen McDaniels,22,16,0,18.3,2.1,4.4,0.471,0.6,1.5,0.375,1.5,2.9,0.522,0.536,0.9,1.1,0.824,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,5.6
Jakob Poeltl,24,66,18,17.7,2.5,4,0.624,0,0,,2.5,4,0.624,0.624,0.6,1.3,0.465,2,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6
John Henson,29,40,8,15,2.4,4.3,0.556,0.2,0.9,0.222,2.2,3.4,0.644,0.579,0.6,1.2,0.5,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2,5.5
John Henson,29,29,2,14.2,2.1,4.1,0.508,0.2,1.1,0.194,1.9,3.1,0.618,0.533,0.6,1.1,0.515,1.1,2.8,3.9,1.5,0.6,1.1,0.7,1.9,5
John Henson,29,11,6,17.1,3.1,4.6,0.667,0.2,0.5,0.4,2.9,4.2,0.696,0.686,0.5,1.2,0.462,1.3,3.1,4.4,1,0.7,0.9,1.4,2.1,6.9
Solomon Hill,28,59,4,18.4,1.9,4.7,0.396,1.1,2.9,0.368,0.8,1.8,0.439,0.509,0.7,0.9,0.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5
Solomon Hill,28,48,3,18.8,2,4.9,0.412,1.2,3.1,0.381,0.8,1.8,0.465,0.532,0.5,0.8,0.684,0.5,2.5,3,2,0.6,0.1,0.8,1.5,5.7
Solomon Hill,28,11,1,17,1.3,4.1,0.311,0.6,2.2,0.292,0.6,1.9,0.333,0.389,1.3,1.5,0.875,0.5,1.5,1.9,0.9,1.1,0.5,1,1.1,4.5
Alex Caruso,25,64,2,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.3,2.7,0.468,0.481,1.1,1.5,0.734,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5
Justin Jackson,24,65,3,16.1,2.1,5.2,0.396,0.7,2.5,0.294,1.3,2.7,0.489,0.466,0.6,0.8,0.84,0.4,2,2.4,0.8,0.2,0.2,0.2,1.1,5.5
Dennis Smith Jr.,22,34,3,15.8,2.1,6.2,0.341,0.5,1.6,0.296,1.6,4.6,0.357,0.379,0.8,1.6,0.509,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9,5.5
Mo Bamba,21,62,0,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.526,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
Pat Connaughton,27,67,4,18.6,2,4.5,0.455,0.8,2.5,0.331,1.2,2,0.607,0.547,0.5,0.6,0.775,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1,5.4
Torrey Craig,29,58,27,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4
Robin Lopez,31,66,5,14.5,2.2,4.5,0.492,0.5,1.6,0.333,1.7,2.9,0.577,0.55,0.4,0.8,0.528,0.8,1.6,2.4,0.7,0.2,0.7,1,1.5,5.4
Garrison Mathews,23,18,0,12.6,1.3,3.1,0.429,1.1,2.6,0.413,0.3,0.6,0.5,0.598,1.7,1.9,0.912,0.3,1,1.3,0.6,0.4,0.1,0.4,1.8,5.4
Luka Šamanić,20,3,1,16,1.7,5.3,0.313,1,2.7,0.375,0.7,2.7,0.25,0.406,1,1.3,0.75,0.3,3,3.3,2,0,0.7,0.7,2,5.3
Juan Toscano-Anderson,26,13,6,20.9,2.2,4.8,0.46,0.6,1.8,0.348,1.6,3.1,0.525,0.524,0.2,0.4,0.6,0.7,3.3,4,2,1,0.4,1.2,2.3,5.3
David Nwaba,27,20,0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
Robert Williams,22,29,1,13.4,2.2,3,0.727,0,0,,2.2,3,0.727,0.727,0.8,1.2,0.647,1.4,3,4.4,0.9,0.8,1.2,0.7,1.8,5.2
Jerome Robinson,22,63,6,15.5,1.8,4.9,0.371,0.8,2.4,0.32,1,2.5,0.42,0.45,0.6,0.9,0.702,0.2,1.8,2,1.4,0.4,0.3,0.8,1.8,5.1
Jerome Robinson,22,42,1,11.3,1.1,3.2,0.338,0.5,1.6,0.284,0.6,1.6,0.391,0.408,0.3,0.5,0.579,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3,2.9
Jerome Robinson,22,21,5,24,3.3,8.3,0.397,1.4,4.1,0.349,1.9,4.2,0.443,0.483,1.4,1.8,0.763,0.4,2.9,3.3,2,0.7,0.4,1.1,2.7,9.4
Chris Chiozza,24,28,2,14.3,2,5,0.393,1,2.6,0.375,1,2.4,0.412,0.489,0.2,0.2,1,0.3,1.6,1.9,3,0.8,0.1,1.1,1.3,5.1
Chris Chiozza,24,10,0,12.3,1,3.4,0.294,0.7,1.6,0.438,0.3,1.8,0.167,0.397,0,0,,0,1.5,1.5,2.8,1,0.2,0.9,1.2,2.7
Chris Chiozza,24,18,2,15.4,2.5,5.9,0.425,1.1,3.1,0.357,1.4,2.8,0.5,0.519,0.3,0.3,1,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4,6.4
Sterling Brown,24,52,1,14.8,1.8,4.9,0.371,0.8,2.6,0.324,1,2.3,0.425,0.457,0.6,0.8,0.8,0.6,2.9,3.5,1,0.6,0.1,0.8,1,5.1
Quinn Cook,26,44,1,11.5,2.1,4.9,0.425,0.7,1.9,0.365,1.4,2.9,0.465,0.498,0.3,0.3,0.786,0.3,0.9,1.2,1.1,0.3,0,0.8,0.6,5.1
Wayne Ellington,32,36,1,15.5,1.7,4.8,0.351,1.4,4,0.35,0.3,0.9,0.355,0.494,0.3,0.4,0.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1
Daniel Gafford,21,43,7,14.2,2.2,3.1,0.701,0,0,,2.2,3.1,0.701,0.701,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
Raul Neto,27,54,3,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
Kadeem Allen,27,10,0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5
Isaac Bonga,20,66,49,18.9,1.8,3.5,0.504,0.4,1.1,0.352,1.4,2.5,0.571,0.558,1,1.3,0.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5
Vince Carter,43,60,0,14.6,1.8,5.1,0.352,1,3.4,0.302,0.8,1.7,0.451,0.452,0.4,0.5,0.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5
Jamal Crawford,39,1,0,6,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,0,0,3,0,0,0,1,5
Cody Martin,24,48,3,18.8,1.9,4.3,0.43,0.4,1.6,0.234,1.5,2.7,0.546,0.473,0.9,1.4,0.646,0.8,2.5,3.3,2,0.8,0.2,0.9,1.6,5
Tony Bradley,22,58,3,11.4,2.2,3.3,0.667,0.1,0.1,1,2.1,3.2,0.661,0.675,0.5,0.8,0.652,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2,4.9
Jevon Carter,24,58,2,16.3,1.7,4.2,0.416,1.1,2.5,0.425,0.7,1.7,0.402,0.543,0.4,0.5,0.852,0.5,1.5,2,1.4,0.8,0.3,0.6,1.5,4.9
Chris Clemons,22,33,0,8.8,1.7,4.3,0.401,1.1,3.2,0.346,0.6,1.1,0.571,0.532,0.3,0.3,0.909,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9
Drew Eubanks,22,22,3,12.4,2,3,0.642,0,0,1,1.9,3,0.636,0.649,0.9,1.2,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1,1.7,4.9
Shaquille Harrison,26,43,10,11.3,1.8,3.8,0.467,0.4,1,0.381,1.4,2.9,0.496,0.515,0.9,1.2,0.78,0.5,1.5,2,1.1,0.8,0.4,0.4,1.3,4.9
Patrick Patterson,30,59,18,13.2,1.6,3.9,0.408,1.1,2.9,0.39,0.5,1,0.459,0.552,0.6,0.7,0.814,0.6,2,2.6,0.7,0.1,0.1,0.4,0.9,4.9
Edmond Sumner,24,31,3,14.4,2,4.6,0.43,0.5,1.7,0.264,1.5,2.9,0.528,0.479,0.5,0.9,0.552,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4,4.9
Matt Thomas,25,41,1,10.7,1.8,3.7,0.487,1.1,2.4,0.475,0.6,1.2,0.51,0.643,0.2,0.3,0.75,0.2,1.3,1.5,0.5,0.2,0,0.4,0.9,4.9
Mario Hezonja,24,53,4,16.4,1.7,4.1,0.422,0.5,1.5,0.308,1.3,2.6,0.486,0.477,0.9,1.1,0.814,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2,4.8
Džanan Musa,20,40,0,12.2,1.6,4.3,0.372,0.5,2,0.244,1.1,2.4,0.479,0.427,1.1,1.5,0.75,0.5,1.6,2.2,1.1,0.4,0,0.9,0.8,4.8
Mike Muscala,28,47,2,12.2,1.6,4,0.407,1.1,3,0.378,0.5,1,0.5,0.55,0.4,0.5,0.818,0.3,2,2.3,0.9,0.2,0.3,0.4,1.2,4.8
Justin Wright-Foreman,22,4,0,11.3,1.8,5,0.35,0.5,2.5,0.2,1.3,2.5,0.5,0.4,0.8,1,0.75,0,1.3,1.3,1.8,0.5,0,0.8,1.3,4.8
Cheick Diallo,23,47,2,10.2,2,3,0.648,0,0.1,0.333,1.9,3,0.655,0.651,0.7,0.8,0.872,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7
Isaiah Hartenstein,21,23,2,11.6,1.9,2.9,0.657,0,0.2,0,1.9,2.7,0.71,0.657,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
Thon Maker,22,60,14,12.9,1.6,3.2,0.482,0.4,1.1,0.344,1.2,2.2,0.55,0.539,1.2,1.8,0.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Matisse Thybulle,22,65,14,19.8,1.7,4.1,0.423,0.9,2.4,0.357,0.9,1.7,0.519,0.528,0.4,0.6,0.61,0.7,1,1.6,1.2,1.4,0.7,0.8,2.2,4.7
Allen Crabbe,27,37,1,17.6,1.7,4.8,0.356,1,3.2,0.303,0.7,1.6,0.466,0.458,0.3,0.4,0.714,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
Allen Crabbe,27,28,1,18.6,1.9,5.1,0.364,1.1,3.3,0.323,0.8,1.8,0.44,0.469,0.3,0.4,0.75,0.4,2,2.3,1,0.5,0.1,0.4,1.3,5.1
Allen Crabbe,27,9,0,14.6,1.2,3.8,0.324,0.7,2.9,0.231,0.6,0.9,0.625,0.412,0.1,0.2,0.5,0.1,1.2,1.3,0.6,0,0,0.6,1.2,3.2
Andre Iguodala,36,21,0,19.9,1.8,4.2,0.432,0.7,2.2,0.298,1.1,2,0.585,0.511,0.3,0.7,0.4,0.8,2.9,3.7,2.4,0.7,1,1.2,1.7,4.6
Rodions Kurucs,21,47,9,14.6,1.7,3.8,0.446,0.7,1.9,0.367,1,1.9,0.529,0.54,0.5,0.8,0.632,0.5,2.4,2.9,1.1,0.5,0.1,1,1.9,4.6
Patrick McCaw,24,37,12,24.5,1.8,4.4,0.414,0.6,1.9,0.324,1.2,2.5,0.484,0.485,0.4,0.5,0.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
Alfonzo McKinnie,27,40,1,14.8,1.8,4.3,0.427,0.4,1.6,0.215,1.5,2.7,0.557,0.468,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
JaKarr Sampson,26,34,12,13.9,2,3.4,0.591,0.1,0.4,0.154,1.9,3,0.647,0.6,0.5,0.8,0.667,0.6,2,2.6,0.6,0.5,0.4,0.4,1.9,4.6
Dante Exum,24,35,1,13.9,1.6,3.4,0.471,0.4,1.2,0.349,1.2,2.2,0.539,0.534,0.9,1.2,0.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
Dante Exum,24,11,0,7.5,0.9,2.1,0.435,0.2,0.5,0.333,0.7,1.5,0.471,0.478,0.2,0.2,1,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
Dante Exum,24,24,1,16.8,1.9,4,0.479,0.5,1.5,0.351,1.4,2.5,0.559,0.547,1.3,1.7,0.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6
Ryan Arcidiacono,25,58,4,16,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
Jerian Grant,27,6,0,13.3,1.7,4.5,0.37,0.3,1.3,0.25,1.3,3.2,0.421,0.407,0.8,1.2,0.714,0.3,0.7,1,1.5,0.2,0.2,0.5,1.8,4.5
Courtney Lee,34,24,9,14.4,1.7,3.4,0.488,0.9,2,0.447,0.8,1.5,0.543,0.616,0.3,0.3,0.857,0.3,1,1.3,0.5,0.8,0.3,0.5,1.4,4.5
Treveon Graham,26,55,20,16.9,1.6,4.4,0.36,0.6,2.2,0.275,1,2.2,0.443,0.428,0.7,1,0.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
Treveon Graham,26,33,20,20.1,1.9,5.3,0.354,0.6,2.5,0.241,1.3,2.8,0.457,0.411,0.8,1.1,0.73,0.9,2.2,3,0.9,0.5,0.1,0.6,2,5.2
Treveon Graham,26,22,0,12.1,1.1,3,0.373,0.6,1.7,0.351,0.5,1.4,0.4,0.47,0.4,0.9,0.474,1,1.3,2.3,0.7,0.3,0.2,0.5,1.6,3.3
Jacob Evans,22,29,1,14.4,1.6,4.6,0.336,0.4,1.3,0.333,1.1,3.3,0.337,0.384,0.9,1,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
Jacob Evans,22,27,1,15.3,1.7,4.9,0.338,0.5,1.4,0.342,1.2,3.5,0.337,0.387,0.9,1.1,0.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
Jacob Evans,22,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Khem Birch,27,48,24,19.2,1.5,3,0.51,0,0,0,1.5,3,0.514,0.51,1.4,2.1,0.653,1.9,2.7,4.6,1,0.4,0.5,0.6,1.9,4.4
Nic Claxton,20,15,0,12.5,1.8,3.2,0.563,0.1,0.5,0.143,1.7,2.7,0.634,0.573,0.7,1.4,0.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
Yogi Ferrell,26,50,0,10.6,1.6,3.8,0.42,0.5,1.6,0.304,1.1,2.2,0.505,0.484,0.7,0.8,0.857,0.1,0.9,1,1.4,0.4,0.1,0.6,0.8,4.4
Ante Žižić,23,22,0,10,1.9,3.3,0.569,0,0,,1.9,3.3,0.569,0.569,0.6,0.9,0.737,0.8,2.2,3,0.3,0.3,0.2,0.5,1.2,4.4
Donta Hall,22,9,0,14.8,1.7,2.4,0.682,0,0,,1.7,2.4,0.682,0.682,1,2,0.5,1.6,2.7,4.2,0.4,0.3,0.7,0.6,2.6,4.3
Donta Hall,22,4,0,12,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,1,1.5,0.667,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5
Donta Hall,22,5,0,17,2.8,3.6,0.778,0,0,,2.8,3.6,0.778,0.778,1,2.4,0.417,1.6,3,4.6,0.4,0.4,1,0.6,2.8,6.6
Al-Farouq Aminu,29,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
Troy Daniels,28,47,0,11.3,1.5,4,0.387,1,2.8,0.348,0.6,1.1,0.481,0.511,0.2,0.3,0.625,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8,4.3
Troy Daniels,28,41,0,11.1,1.5,3.9,0.392,1,2.7,0.357,0.5,1.1,0.478,0.519,0.2,0.4,0.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
Troy Daniels,28,6,0,12.7,1.7,4.7,0.357,1,3.3,0.3,0.7,1.3,0.5,0.464,0,0,,0,1,1,0.5,0.5,0,0.5,1.2,4.3
Bruno Fernando,21,56,13,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.53,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Ryan Broekhoff,29,17,1,10.6,1.3,3.5,0.373,1.2,3,0.392,0.1,0.5,0.25,0.542,0.4,0.5,0.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
Iman Shumpert,29,13,0,18.5,1.6,4.9,0.328,0.6,2.5,0.242,1,2.4,0.419,0.391,0.3,0.5,0.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
Alen Smailagić,19,14,0,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.2,1.9,0.63,0.538,1.1,1.4,0.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1,4.2
Elie Okobo,22,55,3,13.1,1.3,3.3,0.398,0.5,1.3,0.352,0.9,2,0.427,0.467,0.9,1.3,0.704,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1,4
Cristiano Felício,27,22,0,17.5,1.5,2.5,0.63,0,0.1,0,1.5,2.4,0.654,0.63,0.8,1,0.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
Terrance Ferguson,21,56,38,22.4,1.4,3.9,0.355,0.9,3,0.292,0.5,0.9,0.558,0.466,0.3,0.4,0.75,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9
Marko Gudurić,24,44,0,11,1.4,3.6,0.395,0.6,1.9,0.301,0.8,1.7,0.5,0.475,0.5,0.6,0.923,0.3,1.3,1.7,1,0.3,0.2,0.8,0.8,3.9
Gary Payton II,27,29,17,14.9,1.7,4,0.414,0.4,1.6,0.283,1.2,2.4,0.5,0.47,0.1,0.3,0.5,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
DaQuan Jeffries,22,13,0,10.8,1.5,3.1,0.5,0.4,1.4,0.278,1.2,1.7,0.682,0.563,0.4,0.5,0.833,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8
Jaylen Nowell,20,15,0,10.1,1.3,3.5,0.358,0.2,1.7,0.115,1.1,1.8,0.593,0.387,1.1,1.1,0.941,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8
Noah Vonleh,24,36,1,10.5,1.4,2.6,0.565,0.1,0.4,0.2,1.4,2.1,0.636,0.582,0.7,0.9,0.781,1,2.4,3.4,0.8,0.3,0.2,0.6,1.1,3.7
Noah Vonleh,24,29,1,12,1.6,3,0.547,0.1,0.5,0.143,1.6,2.5,0.625,0.558,0.8,1,0.821,1.2,2.8,4,0.9,0.4,0.2,0.7,1.2,4.1
Noah Vonleh,24,7,0,4.3,0.7,0.9,0.833,0.1,0.1,1,0.6,0.7,0.8,0.917,0.3,0.6,0.5,0.4,0.7,1.1,0.3,0,0,0.3,0.6,1.9
Gary Clark,25,42,5,13.5,1.3,3.2,0.406,0.9,2.6,0.351,0.4,0.5,0.682,0.553,0.2,0.2,0.9,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7
Gary Clark,25,18,0,11.8,1.3,3.3,0.39,1,2.8,0.353,0.3,0.4,0.625,0.542,0.3,0.4,0.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
Gary Clark,25,24,5,14.8,1.3,3.1,0.419,0.9,2.5,0.35,0.4,0.6,0.714,0.561,0.1,0.1,1,1.1,1.8,2.9,0.2,0.2,0.6,0.3,1,3.6
DeMarre Carroll,33,24,0,12.1,1,2.8,0.379,0.3,1.4,0.242,0.7,1.4,0.515,0.439,1.2,1.8,0.69,0.5,1.8,2.3,1,0.3,0.2,0.7,1.3,3.6
DeMarre Carroll,33,15,0,9,0.6,1.9,0.31,0.2,0.9,0.231,0.4,1.1,0.375,0.362,0.8,1.3,0.6,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
DeMarre Carroll,33,9,0,17.2,1.8,4.1,0.432,0.6,2.2,0.25,1.2,1.9,0.647,0.5,1.9,2.4,0.773,0.6,2.1,2.7,1.6,0.7,0.3,0.8,1.3,6
Anthony Tolliver,34,55,13,15.9,1.2,3.3,0.357,0.9,2.6,0.338,0.3,0.7,0.432,0.492,0.4,0.5,0.724,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6
Anthony Tolliver,34,33,9,16.8,1.3,3.5,0.368,0.9,2.7,0.337,0.4,0.8,0.464,0.496,0.4,0.6,0.684,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
Anthony Tolliver,34,9,0,9.1,0.3,1.9,0.176,0.2,1.7,0.133,0.1,0.2,0.5,0.235,0.1,0.2,0.5,0.2,1,1.2,0.3,0.4,0.1,0.4,0.7,1
Anthony Tolliver,34,13,4,18.2,1.5,3.7,0.396,1.3,3.2,0.415,0.2,0.5,0.286,0.573,0.5,0.6,0.875,0.4,2.2,2.5,0.8,0.5,0.1,0.7,1.1,4.8
Nicolas Batum,31,22,3,23,1.3,3.7,0.346,0.6,2.2,0.286,0.6,1.5,0.438,0.432,0.4,0.5,0.9,1.1,3.4,4.5,3,0.8,0.4,1,1.9,3.6
Tim Frazier,29,27,11,13.1,1.3,3.5,0.362,0.4,1.1,0.333,0.9,2.4,0.375,0.415,0.7,0.9,0.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Nassir Little,19,48,5,11.9,1.4,3.1,0.43,0.3,1.2,0.237,1.1,1.9,0.554,0.477,0.6,0.9,0.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6
Theo Pinson,24,33,0,11.1,1.4,4.7,0.29,0.5,2.4,0.188,0.9,2.3,0.4,0.339,0.5,0.5,0.938,0.3,1.3,1.6,1.7,0.5,0.1,1,1.1,3.6
Tremont Waters,22,11,1,10.8,1.3,4.5,0.286,0.4,2.2,0.167,0.9,2.3,0.4,0.327,0.7,0.7,1,0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,3.6
D.J. Wilson,23,37,1,9.8,1.4,3.6,0.394,0.5,2,0.247,0.9,1.6,0.576,0.462,0.3,0.5,0.611,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6
Mfiondu Kabengele,22,12,0,5.3,1.2,2.7,0.438,0.8,1.7,0.45,0.4,1,0.417,0.578,0.4,0.4,1,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
Kyle O'Quinn,29,29,2,10.8,1.4,2.9,0.494,0.2,0.9,0.259,1.2,2,0.603,0.535,0.4,0.7,0.55,1.2,2.8,4,1.8,0.2,0.8,0.7,1.3,3.5
Miye Oni,22,10,1,10.9,1.2,3.2,0.375,0.7,1.9,0.368,0.5,1.3,0.385,0.484,0.4,0.5,0.8,0.5,1.2,1.7,0.4,0.4,0.2,0.4,0.9,3.5
Kenrich Williams,25,39,18,21.3,1.3,3.8,0.347,0.6,2.5,0.258,0.7,1.3,0.52,0.432,0.2,0.7,0.346,1.3,3.5,4.8,1.5,0.7,0.5,0.6,2.3,3.5
Javonte Green,26,48,2,9.8,1.3,2.6,0.5,0.2,0.7,0.273,1.1,1.9,0.581,0.536,0.6,0.9,0.667,0.5,1.4,1.9,0.5,0.5,0.2,0.5,0.9,3.4
Kevon Looney,23,20,4,13.1,1.5,4,0.367,0.1,0.7,0.071,1.4,3.3,0.431,0.373,0.5,0.6,0.75,1.4,1.9,3.3,1,0.6,0.3,0.6,1.7,3.4
Semi Ojeleye,25,69,6,14.7,1.2,2.8,0.408,0.7,1.8,0.378,0.5,1,0.464,0.531,0.4,0.5,0.875,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,3.4
Lance Thomas,31,7,4,14,1.1,3.3,0.348,0.6,1.9,0.308,0.6,1.4,0.4,0.435,0.6,0.6,1,0.3,1.6,1.9,0.9,0,0,0.9,1.6,3.4
Grant Williams,21,69,5,15.1,1.3,3.1,0.412,0.3,1.4,0.25,0.9,1.7,0.548,0.469,0.6,0.8,0.722,0.9,1.7,2.6,1,0.4,0.5,0.7,2.4,3.4
Carsen Edwards,21,37,0,9.5,1.1,3.5,0.328,0.6,2.1,0.316,0.5,1.4,0.346,0.422,0.4,0.5,0.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3
