Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Greg Monroe,31,3,0,8.7,1.3,1.7,0.8,0,0,,1.3,1.7,0.8,0.8,1.3,2.3,0.571,2,1,3,1,0,0.3,0,2,4,,
Wenyen Gabriel,24,26,5,13.8,2.1,4.2,0.491,0.3,1.1,0.286,1.8,3.2,0.561,0.527,1,1.6,0.595,1.5,2.2,3.7,0.5,0.2,0.4,0.6,2.6,5.4,,
Wenyen Gabriel,24,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,,
Wenyen Gabriel,24,6,0,7.7,0.8,2.2,0.385,0.3,0.8,0.4,0.5,1.3,0.375,0.462,0.3,0.7,0.5,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3,,
Wenyen Gabriel,24,19,5,16.4,2.6,5.1,0.505,0.3,1.2,0.261,2.3,3.9,0.581,0.536,1.2,2,0.605,1.8,2.5,4.3,0.6,0.2,0.5,0.7,3,6.7,,
PJ Dozier,25,18,0,18.9,2,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4,,
Rodney McGruder,30,51,2,14.8,1.9,4.4,0.436,1.1,2.9,0.397,0.8,1.5,0.506,0.564,0.4,0.5,0.731,0.6,1.6,2.2,0.9,0.4,0.1,0.5,1.1,5.4,,
Trey Murphy III,21,62,1,13.9,1.8,4.5,0.394,1.1,3,0.382,0.6,1.5,0.418,0.522,0.7,0.8,0.882,0.8,1.6,2.4,0.6,0.4,0.1,0.3,1,5.4,,
Armoni Brooks,23,54,11,15.6,1.8,5.4,0.339,1.4,4.6,0.297,0.4,0.7,0.6,0.467,0.3,0.4,0.857,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.4,5.3,,
Armoni Brooks,23,41,8,16.8,2.1,6.1,0.347,1.6,5.2,0.3,0.6,0.9,0.605,0.474,0.4,0.5,0.842,0.3,1.7,2,1.2,0.5,0.2,0.6,1.5,6.2,,
Armoni Brooks,23,13,3,11.8,0.8,2.9,0.289,0.8,2.8,0.278,0.1,0.2,0.5,0.421,0.2,0.2,1,0.6,1.1,1.7,1,0.5,0.2,0.3,1.1,2.6,,
D.J. Augustin,34,55,2,16.1,1.7,4,0.423,1.2,3,0.415,0.5,1.1,0.448,0.577,0.7,0.8,0.884,0.2,1,1.2,1.9,0.3,0,1,0.7,5.3,,
D.J. Augustin,34,34,2,15,1.6,4,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1,1.1,0.868,0.2,1,1.2,2.2,0.3,0,1.3,0.5,5.4,,
D.J. Augustin,34,21,0,17.8,1.9,4.1,0.453,1.4,3.2,0.426,0.5,0.9,0.556,0.622,0.2,0.2,1,0.2,1.1,1.3,1.6,0.3,0,0.5,1,5.3,,
Derrick Favors,30,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,,
Dean Wade,25,51,28,19.2,1.9,4.3,0.456,1,2.8,0.359,0.9,1.5,0.64,0.574,0.4,0.6,0.667,0.6,2.3,2.9,1,0.6,0.1,0.3,1.7,5.3,,
Omer Yurtseven,23,56,12,12.6,2.3,4.4,0.526,0,0.2,0.091,2.3,4.2,0.547,0.528,0.7,1.1,0.623,1.5,3.7,5.3,0.9,0.3,0.4,0.7,1.5,5.3,,
Garrett Temple,35,59,16,18.6,1.9,5,0.376,1,3.1,0.319,0.9,1.9,0.473,0.476,0.5,0.7,0.683,0.5,1.9,2.4,1.3,0.7,0.4,0.7,1.4,5.2,,
Cody Zeller,29,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,,
DeAndre' Bembry,27,56,20,18.3,2.2,3.9,0.561,0.3,0.6,0.417,1.9,3.3,0.589,0.595,0.4,0.6,0.6,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2,5.1,,
DeAndre' Bembry,27,48,20,19.8,2.5,4.4,0.568,0.3,0.8,0.417,2.2,3.7,0.599,0.603,0.4,0.7,0.6,0.8,2.4,3.2,1.3,1,0.5,0.6,2.2,5.8,,
DeAndre' Bembry,27,8,0,9.6,0.4,1,0.375,0,0,,0.4,1,0.375,0.375,0,0,,0.5,0.9,1.4,0.8,0.3,0,0.1,1.1,0.8,,
Trey Burke,29,42,0,10.5,2,5.1,0.391,0.6,2,0.317,1.4,3.2,0.436,0.451,0.5,0.5,0.87,0.1,0.7,0.8,1.4,0.3,0,0.6,0.9,5.1,,
Facundo Campazzo,30,65,4,18.2,1.6,4.6,0.361,0.9,3,0.301,0.8,1.6,0.476,0.459,0.9,1.2,0.769,0.4,1.4,1.8,3.4,1,0.4,1,1.9,5.1,,
Wesley Matthews,35,49,14,20.4,1.8,4.5,0.395,1.1,3.2,0.338,0.7,1.3,0.54,0.516,0.4,0.6,0.786,0.6,1.3,1.9,0.7,0.5,0.2,0.4,1.8,5.1,,
David Nwaba,29,46,4,13.2,1.8,3.8,0.483,0.3,1.1,0.306,1.5,2.8,0.551,0.526,1,1.5,0.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1,,
Ignas Brazdeikis,23,42,1,12.8,1.9,4.5,0.431,0.6,2.1,0.31,1.3,2.4,0.535,0.503,0.5,0.8,0.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5,,
Jock Landale,26,54,1,10.9,1.9,3.8,0.495,0.5,1.6,0.326,1.3,2.1,0.626,0.566,0.6,0.8,0.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1,4.9,,
Rajon Rondo,35,39,1,17.9,1.7,4.5,0.386,0.8,2.3,0.352,0.9,2.3,0.42,0.474,0.5,0.7,0.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8,,
Rajon Rondo,35,18,0,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.8,2.3,0.366,0.38,0.1,0.1,0.5,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1,,
Rajon Rondo,35,21,1,19.5,2.1,5,0.429,1.1,2.8,0.397,1,2.2,0.468,0.538,0.9,1.1,0.75,0.2,2.6,2.8,4.9,0.9,0,1.6,1.5,6.2,,
Brandon Goodwin,26,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0,1,1.1,4.8,,
Josh Green,21,67,3,15.5,1.9,3.8,0.508,0.4,1.2,0.359,1.5,2.7,0.573,0.563,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,,
John Konchar,25,72,7,17.9,1.9,3.6,0.515,0.7,1.8,0.413,1.2,1.9,0.61,0.615,0.4,0.7,0.551,1.2,3.4,4.6,1.5,0.6,0.3,0.4,1.3,4.8,,
Xavier Tillman Sr.,23,53,2,13.2,1.8,4.1,0.454,0.2,0.9,0.204,1.7,3.2,0.527,0.477,0.9,1.3,0.648,1.2,1.8,3,1.2,0.9,0.3,0.6,1.2,4.8,,
Udoka Azubuike,22,17,6,11.5,2.2,2.9,0.755,0,0,,2.2,2.9,0.755,0.755,0.4,0.6,0.545,1.1,3.1,4.2,0,0.1,0.6,0.7,1.5,4.7,,
Greg Brown III,20,48,6,13.3,1.7,4,0.426,0.4,1.3,0.311,1.3,2.7,0.481,0.476,0.9,1.4,0.677,0.8,2,2.8,0.7,0.5,0.5,0.8,1.9,4.7,,
David Duke Jr.,22,22,7,15.5,1.8,4.9,0.361,0.4,1.7,0.243,1.4,3.2,0.423,0.403,0.8,1,0.81,1.4,1.7,3,0.8,0.6,0.3,0.4,1.6,4.7,,
Cameron McGriff,24,3,0,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7,,
James Bouknight,21,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1,3,0.348,0.408,0.9,1,0.871,0.7,1,1.7,0.8,0.2,0,0.5,0.9,4.6,,
Maurice Harkless,28,47,24,18.4,1.8,3.9,0.459,0.7,2.1,0.307,1.1,1.7,0.65,0.544,0.4,0.6,0.714,0.3,2.1,2.4,0.5,0.6,0.5,0.7,1.6,4.6,,
Svi Mykhailiuk,24,56,5,12.8,1.6,4.2,0.389,0.7,2.4,0.306,0.9,1.8,0.5,0.476,0.6,0.7,0.865,0.4,1.3,1.6,0.8,0.5,0.1,0.6,1,4.6,,
Romeo Langford,22,48,5,16.1,1.7,4,0.435,0.6,1.8,0.341,1.1,2.2,0.509,0.51,0.5,0.9,0.548,0.6,1.6,2.3,0.4,0.5,0.3,0.3,1,4.5,,
Romeo Langford,22,44,5,16.5,1.8,4.2,0.429,0.7,1.9,0.349,1.1,2.3,0.495,0.508,0.5,0.8,0.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1,4.7,,
Romeo Langford,22,4,0,10.8,1,1.8,0.571,0,0.5,0,1,1.3,0.8,0.571,0.8,2,0.375,0,1,1,0.5,0.3,0,0,0.3,2.8,,
Khem Birch,29,55,28,18,1.8,3.6,0.485,0,0.3,0,1.8,3.4,0.522,0.485,1,1.3,0.746,2.2,2.1,4.3,1,0.5,0.5,0.5,1.9,4.5,,
Marquese Chriss,24,34,0,10.2,1.8,3.9,0.463,0.2,0.7,0.32,1.6,3.2,0.495,0.493,0.6,1,0.667,1,2.1,3,0.5,0.4,0.4,0.5,1.9,4.5,,
Louis King,22,10,0,10.4,1.5,4.7,0.319,0.8,2.7,0.296,0.7,2,0.35,0.404,0.7,1,0.7,0,1.2,1.2,0.9,0.2,0.1,0,1.4,4.5,,
Taj Gibson,36,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,,
Timothé Luwawu-Cabarrot,26,52,18,13.2,1.4,3.6,0.398,0.8,2.3,0.361,0.6,1.2,0.469,0.516,0.7,0.8,0.854,0.3,1.3,1.6,0.8,0.3,0.1,0.4,1.5,4.4,,
Moses Moody,19,52,11,11.7,1.5,3.5,0.437,0.8,2.1,0.364,0.8,1.4,0.548,0.546,0.5,0.7,0.778,0.3,1.2,1.5,0.4,0.1,0.2,0.3,0.8,4.4,,
Jabari Parker,26,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,,
Davon Reed,26,48,5,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2,2.3,1.1,0.5,0.2,0.3,1.3,4.4,,
Delon Wright,29,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1,2,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,,
Moses Brown,22,40,6,8.6,1.6,2.7,0.593,0,0,,1.6,2.7,0.593,0.593,1.1,1.8,0.597,1,2.4,3.4,0,0.2,0.4,0.5,1.3,4.3,,
Moses Brown,22,26,1,6.5,1,1.9,0.54,0,0,,1,1.9,0.54,0.54,1,1.7,0.628,0.6,1.7,2.3,0,0.1,0.3,0.5,1.1,3.1,,
Moses Brown,22,14,5,12.6,2.6,4.1,0.638,0,0,,2.6,4.1,0.638,0.638,1.1,2.1,0.552,1.6,3.6,5.3,0,0.3,0.5,0.4,1.8,6.4,,
DeAndre Jordan,33,48,20,13,1.9,3,0.643,0,0,,1.9,3,0.643,0.643,0.5,0.8,0.55,1.7,3.8,5.5,0.4,0.3,0.7,0.8,1.5,4.3,,
DeAndre Jordan,33,32,19,12.8,1.9,2.8,0.674,0,0,,1.9,2.8,0.674,0.674,0.4,0.8,0.462,1.6,3.8,5.4,0.4,0.3,0.8,0.7,1.6,4.1,,
DeAndre Jordan,33,16,1,13.4,2,3.4,0.593,0,0,,2,3.4,0.593,0.593,0.6,0.9,0.714,2,3.8,5.8,0.5,0.1,0.6,1,1.3,4.6,,
Troy Brown Jr.,22,66,7,16,1.6,3.9,0.419,0.7,2,0.353,0.9,1.9,0.488,0.51,0.3,0.4,0.769,0.6,2.5,3.1,1,0.5,0.1,0.4,0.9,4.3,,
Mamadi Diakite,25,13,3,14.5,1.9,3.6,0.532,0,0.4,0,1.9,3.2,0.595,0.532,0.5,0.8,0.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,4.3,,
Malachi Flynn,23,44,5,12.2,1.6,4.2,0.393,0.7,2,0.333,1,2.1,0.452,0.475,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1,4.3,,
Boban Marjanović,33,23,0,5.6,1.8,3,0.6,0,0.2,0.25,1.8,2.9,0.621,0.607,0.6,1,0.591,0.3,1.3,1.7,0.1,0,0.1,0.7,1,4.3,,
Trevelin Queen,24,10,0,7.4,1.5,3.3,0.455,0.9,2.4,0.375,0.6,0.9,0.667,0.591,0.4,0.4,1,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,4.3,,
Yuta Watanabe,27,38,4,11.7,1.5,3.6,0.406,0.7,2.1,0.342,0.8,1.6,0.492,0.504,0.6,1.1,0.6,0.5,1.9,2.4,0.6,0.3,0.4,0.5,1,4.3,,
Rayjon Tucker,24,5,0,14.2,1.2,1.8,0.667,0.8,1,0.8,0.4,0.8,0.5,0.889,1,1.4,0.714,0.6,1,1.6,2,0.8,0,0.2,1,4.2,,
Rayjon Tucker,24,3,0,9.7,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,1,1.3,0.75,0.3,1,1.3,1.3,0.3,0,0,1,2,,
Rayjon Tucker,24,2,0,21,2.5,3.5,0.714,1.5,1.5,1,1,2,0.5,0.929,1,1.5,0.667,1,1,2,3,1.5,0,0.5,1,7.5,,
Jevon Carter,26,66,3,13.7,1.5,3.8,0.387,1,2.6,0.388,0.5,1.3,0.386,0.518,0.2,0.3,0.833,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1,4.2,,
Jevon Carter,26,46,1,12,1.3,3.8,0.333,0.9,2.8,0.331,0.3,1,0.34,0.454,0.2,0.2,0.7,0.2,1.3,1.5,1,0.3,0.2,0.6,1,3.6,,
Jevon Carter,26,20,2,17.7,2,4,0.506,1.2,2.2,0.558,0.8,1.8,0.444,0.658,0.4,0.4,1,0.3,1.9,2.2,2.5,0.5,0.2,0.4,1.1,5.6,,
Sam Merrill,25,6,0,9.7,1.3,4,0.333,1.2,3.8,0.304,0.2,0.2,1,0.479,0.3,0.7,0.5,0.2,1,1.2,0.7,0,0,0.3,0.5,4.2,,
Lindell Wigginton,23,19,0,10.5,1.4,3.2,0.426,0.5,1.4,0.346,0.9,1.8,0.486,0.5,1,1.8,0.543,0.2,1.2,1.3,1.2,0.3,0.1,0.6,0.9,4.2,,
James Ennis III,31,7,0,8,1.6,3.4,0.458,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1,1.7,0.4,0.3,0.3,0.3,0.7,4.1,,
James Ennis III,31,2,0,7,1,3.5,0.286,0.5,1,0.5,0.5,2.5,0.2,0.357,0,0,,1,1.5,2.5,0,0.5,0.5,0,0,2.5,,
James Ennis III,31,2,0,14,3.5,5.5,0.636,1,2,0.5,2.5,3.5,0.714,0.727,2,2,1,1,1.5,2.5,0,0.5,0.5,0.5,2,10,,
James Ennis III,31,3,0,4.7,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0.3,0,0.3,0.3,0.7,1,0,0,0.3,0.3,1.3,,
Mychal Mulder,27,17,3,14.1,1.4,4.5,0.312,1,3.2,0.315,0.4,1.4,0.304,0.422,0.2,0.2,1,0.1,1.3,1.4,0.3,0.2,0.1,0.5,0.8,4.1,,
Mychal Mulder,27,15,2,13,1.3,4.5,0.299,0.9,3.1,0.283,0.5,1.4,0.333,0.396,0.1,0.1,1,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7,,
Mychal Mulder,27,2,1,22,2,5,0.4,2,4,0.5,0,1,0,0.6,1,1,1,0,1.5,1.5,1,0,0.5,0,0.5,7,,
Santi Aldama,21,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1,0.625,1,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,,
Vlatko Čančar,24,15,1,11.7,1.5,2.7,0.561,0.5,0.8,0.583,1.1,1.9,0.552,0.646,0.6,0.9,0.643,0.5,1.5,2.1,1.1,0.1,0.2,0.6,1.2,4.1,,
Anthony Gill,29,44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,,
Markus Howard,22,31,0,5.7,1.3,3.3,0.386,0.9,2.3,0.4,0.4,1,0.355,0.525,0.6,0.7,0.87,0.1,0.3,0.4,0.2,0.3,0,0.2,0.5,4.1,,
Frank Ntilikina,23,58,5,11.8,1.5,3.8,0.399,0.7,1.9,0.342,0.9,1.9,0.455,0.484,0.4,0.4,0.96,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1,,
Juan Toscano-Anderson,28,73,6,13.6,1.6,3.2,0.489,0.4,1.2,0.322,1.2,2,0.588,0.549,0.5,1,0.571,0.4,2,2.4,1.7,0.7,0.2,0.9,1.6,4.1,,
Mac McClung,23,2,0,12.5,1.5,3,0.5,0.5,1.5,0.333,1,1.5,0.667,0.583,0.5,0.5,1,0,1.5,1.5,0.5,0.5,0.5,1.5,2.5,4,,
Mac McClung,23,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,2,,
Mac McClung,23,1,0,22,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,1,1,0,3,3,1,1,1,2,5,6,,
Trevor Ariza,36,24,11,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1,0.52,0.434,0.4,0.8,0.556,0.4,3,3.4,1.1,0.5,0.3,0.5,0.8,4,,
Scotty Hopson,32,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,2,1,4,,
Andre Iguodala,38,31,0,19.5,1.5,3.9,0.38,0.5,2.4,0.23,0.9,1.5,0.617,0.45,0.5,0.6,0.75,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4,,
Micah Potter,23,3,0,10.3,1.7,3.7,0.455,0,0.7,0,1.7,3,0.556,0.455,0.7,0.7,1,1.3,1.7,3,0,0.3,0.3,0.3,1.3,4,,
Matt Thomas,27,40,0,11.5,1.4,3.4,0.41,0.9,2.3,0.385,0.5,1.1,0.465,0.541,0.4,0.5,0.8,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.5,4,,
Gabe York,28,2,0,10.5,1,3.5,0.286,0.5,3,0.167,0.5,0.5,1,0.357,1.5,2.5,0.6,0,1,1,2,1,0.5,0.5,2,4,,
Didi Louzada,22,9,1,14.3,1.3,3.7,0.364,1,2.6,0.391,0.3,1.1,0.3,0.5,0.2,0.2,1,0.6,1.3,1.9,0.6,0.2,0.2,0.6,1.4,3.9,,
Didi Louzada,22,2,0,3.5,0,1.5,0,0,1.5,0,0,0,,0,0,0,,1,0,1,0.5,0,0,0,0,0,,
Didi Louzada,22,7,1,17.4,1.7,4.3,0.4,1.3,2.9,0.45,0.4,1.4,0.3,0.55,0.3,0.3,1,0.4,1.7,2.1,0.6,0.3,0.3,0.7,1.9,5,,
Kyle Guy,24,19,0,9.8,1.4,3.4,0.4,0.7,2.1,0.35,0.6,1.3,0.48,0.508,0.4,0.6,0.667,0.2,0.7,0.9,0.9,0.4,0.1,0.7,0.6,3.9,,
Malcolm Hill,26,19,0,11.2,1.3,2.7,0.462,0.7,1.9,0.361,0.6,0.8,0.688,0.587,0.6,0.7,0.786,0.6,1.3,1.8,0.4,0.4,0.2,0.2,1.3,3.8,,
Malcolm Hill,26,3,0,15.3,1.7,2.7,0.625,1,1.7,0.6,0.7,1,0.667,0.813,1.3,1.3,1,0.7,1.3,2,0.3,1.3,0.3,0,2.3,5.7,,
Malcolm Hill,26,16,0,10.4,1.2,2.8,0.432,0.6,1.9,0.323,0.6,0.8,0.692,0.545,0.4,0.6,0.7,0.6,1.3,1.8,0.4,0.2,0.1,0.2,1.1,3.4,,
Jared Butler,21,42,1,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.8,1.5,0.524,0.497,0.3,0.4,0.688,0.1,1,1.1,1.5,0.4,0.2,0.8,1.1,3.8,,
Sandro Mamukelashvili,22,41,3,9.9,1.4,2.8,0.496,0.5,1.3,0.423,0.9,1.5,0.556,0.591,0.4,0.5,0.818,0.9,1.1,2,0.5,0.2,0.2,0.4,0.7,3.8,,
Jordan McLaughlin,25,62,3,14.5,1.4,3.2,0.44,0.4,1.4,0.318,1,1.9,0.53,0.508,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,3.8,,
Aaron Nesmith,22,52,3,11,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,,
Jamorko Pickett,24,13,0,13.5,1.4,3.8,0.36,1,3,0.333,0.4,0.8,0.455,0.49,0.1,0.2,0.5,0.5,2,2.5,0.5,0,0.5,0.4,0.9,3.8,,
Admiral Schofield,24,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,,
Cheick Diallo,25,3,0,10.3,1,2.7,0.375,0,0,,1,2.7,0.375,0.375,1.7,2,0.833,1.3,2.7,4,0,0.3,0,0.3,2,3.7,,
Enes Freedom,29,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,,
Nathan Knight,24,37,2,7.2,1.2,2.4,0.511,0.1,0.4,0.308,1.1,2,0.547,0.534,1.2,1.6,0.733,0.9,1.4,2.3,0.6,0.2,0.2,0.5,1.1,3.7,,
KZ Okpala,22,21,0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,1,2,0.488,0.5,0.4,0.5,0.727,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,3.7,,
Brad Wanamaker,32,23,2,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1,2.6,0.4,0.39,1,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1,2,3.6,,
Brad Wanamaker,32,22,1,13.3,1.2,3.3,0.361,0.2,0.8,0.235,1,2.5,0.4,0.389,0.9,1,0.909,0.3,1.3,1.6,2.2,0.2,0.3,1,1.9,3.5,,
Brad Wanamaker,32,1,1,27,2,5,0.4,0,0,,2,5,0.4,0.4,3,3,1,0,4,4,7,2,0,0,3,7,,
Tomáš Satoranský,30,55,13,16.5,1.3,3.5,0.377,0.2,1,0.208,1.1,2.5,0.442,0.406,0.8,1,0.796,0.5,1.8,2.3,3.3,0.5,0.1,0.8,1.3,3.6,,
Tomáš Satoranský,30,32,3,15,1,3.3,0.299,0.2,1,0.161,0.8,2.4,0.355,0.322,0.6,0.8,0.76,0.6,1.4,2,2.4,0.4,0,0.7,1,2.8,,
Tomáš Satoranský,30,1,0,9,0,0,,0,0,,0,0,,,3,4,0.75,0,1,1,0,0,0,0,0,3,,
Tomáš Satoranský,30,22,10,18.9,1.8,3.8,0.476,0.3,1,0.273,1.5,2.8,0.548,0.512,1,1.1,0.84,0.4,2.4,2.8,4.9,0.7,0.2,1,1.7,4.9,,
Thanasis Antetokounmpo,29,48,6,9.9,1.5,2.7,0.547,0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,,
Isaiah Joe,22,55,1,11.1,1.1,3.2,0.35,0.8,2.5,0.333,0.3,0.8,0.405,0.477,0.5,0.6,0.935,0.1,0.9,1,0.6,0.3,0.1,0.3,0.9,3.6,,
Tony Snell,30,53,12,15.5,1.3,3.2,0.404,0.8,2.4,0.352,0.5,0.8,0.558,0.535,0.1,0.1,1,0.3,1.6,1.9,0.5,0.3,0.2,0.4,1.3,3.5,,
Tony Snell,30,38,10,14.4,0.9,2.6,0.371,0.6,2,0.32,0.3,0.6,0.545,0.495,0.1,0.1,1,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,2.6,,
Tony Snell,30,15,2,18.5,2.2,4.9,0.446,1.4,3.5,0.396,0.8,1.4,0.571,0.588,0.1,0.1,1,0.3,1.7,2.1,0.5,0.5,0.1,0.5,1.7,5.9,,
Elijah Hughes,23,36,4,12.1,1.3,4,0.326,0.7,2.6,0.263,0.6,1.4,0.449,0.413,0.2,0.3,0.778,0.2,1.4,1.6,0.6,0.4,0.2,0.5,1.1,3.5,,
Elijah Hughes,23,14,1,8,1.1,2.6,0.417,0.7,2,0.357,0.4,0.6,0.625,0.556,0.2,0.2,1,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1,,
Elijah Hughes,23,22,3,14.6,1.5,4.9,0.296,0.7,3,0.224,0.8,1.9,0.415,0.366,0.2,0.3,0.667,0.2,1.7,1.9,0.7,0.5,0.3,0.5,1.5,3.8,,
Paul Millsap,36,33,1,11.4,1.4,3.5,0.391,0.2,1.1,0.229,1.1,2.4,0.463,0.426,0.5,0.7,0.708,1.2,2.2,3.5,0.9,0.3,0.4,0.6,2,3.5,,
Paul Millsap,36,24,0,11.3,1.3,3.5,0.376,0.3,1.1,0.222,1.1,2.4,0.448,0.412,0.5,0.7,0.706,1.2,2.5,3.7,1,0.2,0.5,0.5,2,3.4,,
Paul Millsap,36,9,1,11.8,1.4,3.3,0.433,0.2,0.9,0.25,1.2,2.4,0.5,0.467,0.6,0.8,0.714,1.3,1.4,2.8,0.6,0.6,0.2,0.9,2.1,3.7,,
Jarrett Culver,22,37,0,9.1,1.4,3.6,0.378,0.3,1.3,0.255,1.1,2.4,0.443,0.422,0.4,0.9,0.471,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,3.5,,
Gorgui Dieng,32,44,3,8.4,1.2,2.5,0.473,0.7,1.5,0.426,0.5,1,0.545,0.603,0.4,0.6,0.731,0.7,2,2.8,0.8,0.3,0.3,0.5,1.2,3.5,,
Alfonzo McKinnie,29,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,,
Kent Bazemore,32,39,14,14,1.2,3.6,0.324,0.7,2.1,0.363,0.4,1.5,0.271,0.428,0.3,0.4,0.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4,,
Tyler Cook,24,20,2,10,1.2,1.9,0.605,0,0,,1.2,1.9,0.605,0.605,1.1,1.6,0.656,0.8,1.9,2.7,0.2,0.2,0.2,0.4,1.4,3.4,,
Nerlens Noel,27,25,11,22.5,1.3,2.4,0.533,0,0.1,0,1.3,2.3,0.561,0.533,0.8,1.2,0.7,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4,,
