,Player,Year,WS_pred
358,Dariq Whitehead,2026,0.022983357
359,Landry Shamet,2026,0.77473074
360,Jordan Goodwin,2026,1.0972277
361,Shake Milton,2026,1.2071292
362,Aaron Holiday,2026,1.5700593
363,Jeff Green,2026,0.8683714
364,Jonathan Isaac,2026,3.7212894
365,Dean Wade,2026,2.9189079
366,Keaton Wallace,2026,0.42407045
367,Kobe Bufkin,2026,0.17176473
368,Jamal Cain,2026,0.545712
369,Pat Connaughton,2026,0.90979886
370,Kevin Love,2026,0.79656804
371,Ben Sheppard,2026,1.4985747
372,Monte Morris,2026,1.0758424
373,Jabari Walker,2026,1.870545
374,Javonte Green,2026,2.1153243
375,Alex Reese,2026,0.43716422
376,Bismack Biyombo,2026,0.8386324
377,Mitchell Robinson,2026,1.3624518
378,Kai Jones,2026,1.5281337
379,Ben Simmons,2026,2.2945218
380,Malaki Branham,2026,0.49138623
381,Neemias Queta,2026,2.4643114
382,Alondes Williams,2026,0.047230773
383,Jaylen Martin,2026,0.13393658
384,Lindy Waters III,2026,0.9143095
385,Trevelin Queen,2026,0.87110865
386,Jock Landale,2026,1.3605137
387,Colin Castleton,2026,0.70604146
388,Taylor Hendricks,2026,0.1087911
389,David Roddy,2026,0.8589793
390,Drew Eubanks,2026,2.3203142
391,Pelle Larsson,2026,1.1471444
392,Julian Phillips,2026,1.7509899
393,Cody Williams,2026,-1.2181611
394,Rob Dillingham,2026,0.2824562
395,Jett Howard,2026,-0.0084945625
396,Kevon Looney,2026,4.344859
397,Mason Plumlee,2026,4.1930833
398,Dalen Terry,2026,0.8754996
399,Marvin Bagley III,2026,0.5790259
400,Charles Bassey,2026,1.0761482
401,Tony Bradley,2026,0.32100758
402,Reggie Jackson,2026,0.19536786
403,Reed Sheppard,2026,0.993503
404,Lamar Stevens,2026,0.20581536
405,Mo Bamba,2026,1.3156564
406,Jevon Carter,2026,0.47406024
407,Micah Potter,2026,0.5817043
408,Terrence Shannon Jr.,2026,0.546103
409,Daniel Theis,2026,1.2133459
410,Torrey Craig,2026,0.67009485
411,Wendell Moore Jr.,2026,0.60915387
412,Dominick Barlow,2026,0.75733155
413,Kessler Edwards,2026,1.2968088
414,Oso Ighodaro,2026,1.4977769
415,Kris Murray,2026,1.3438503
416,Duop Reath,2026,1.228436
417,Cam Spencer,2026,0.6671707
418,Maxwell Lewis,2026,0.28863043
419,Jaylen Clark,2026,1.0395468
420,Caleb Houstan,2026,1.1161908
421,Jordan Miller,2026,0.46622998
422,Jalen Pickett,2026,1.0360508
423,Paul Reed,2026,1.8645369
424,Gui Santos,2026,1.3491747
425,Jarred Vanderbilt,2026,1.4489838
426,Colby Jones,2026,0.73456645
427,Nicolas Batum,2026,3.0828965
428,Malachi Flynn,2026,0.08222572
